"Asset","term","estimate","rob.std.err","p.value"
"VNIndex","mu",-0.0255984915258155,0.0742623956846066,0.730317450479512
"VNIndex","alpha",0.0180043001853489,0.00213207150228637,0
"VNIndex","beta",0.985308424372354,0.00925515994035974,0
"VNIndex","gamma",-0.00662546950369745,0.00948536743699142,0.484868489366592
"VNIndex","m",-2.38878890936353,1.07797653637846,0.0266919529251293
"VNIndex","theta",-0.00255138251227013,0.00147327989573798,0.0833144505908656
"VNIndex","w2",4.49815387983378,1.2487427248165,0.000315600756751078
"XAUUSD","mu",0.0423647614957812,0.0126064518168176,0.000777841024805159
"XAUUSD","alpha",0.0719656009716319,0.0141677582404713,3.78363033126661e-07
"XAUUSD","beta",0.930538990525602,0.0161404506914561,0
"XAUUSD","gamma",-0.0328617408190887,0.0125411050048559,0.00878466232202046
"XAUUSD","m",-0.158598351586201,0.237718557680155,0.504664460959795
"XAUUSD","theta",0.0173204889149785,0.00668572966248627,0.0095790560551543
"XAUUSD","w2",1.1709313441593,0.922508936417344,0.204337660814707
"GC=F","mu",0.0399019071984078,0.0133968924840621,0.00289715036841542
"GC=F","alpha",0.0545724869907462,0.0153101792460761,0.000364609180451225
"GC=F","beta",0.947693564843302,0.0189510273492407,0
"GC=F","gamma",-0.0239467998436543,0.0134841042898929,0.0757447671081752
"GC=F","m",0.0314647788930148,0.318889687052048,0.921400454781414
"GC=F","theta",0.0123547588087905,0.00887811846413435,0.164044611566533
"GC=F","w2",1.00001194255793,2.95470753538423,0.735026350163421
"SJC","mu",0.292350369504454,0.00753411043061898,0
"SJC","alpha",0.041007802532095,0.00976061575972863,2.65323276369411e-05
"SJC","beta",0.93215569945831,0.0190972319537167,0
"SJC","gamma",0.0473136805834983,0.0174750233496138,0.00677914295634241
"SJC","m",0.189904433820665,0.470631229129224,0.686573038198464
"SJC","theta",-0.370075307832469,0.181345885828617,0.0412791424458723
"SJC","w2",13.8274977451022,5.88426144406471,0.0187778399342293
"BTC","mu",0.00713250465292715,NA,NA
"BTC","alpha",0.103473949543035,NA,NA
"BTC","beta",0.921200858880623,NA,NA
"BTC","gamma",-0.0493498984092286,NA,NA
"BTC","m",0.468083470424052,NA,NA
"BTC","theta",-0.16476512122028,NA,NA
"BTC","w2",2.85672352821843,NA,NA
"ETH","mu",0.00783668984665041,NA,NA
"ETH","alpha",0.0755789083870381,NA,NA
"ETH","beta",0.942329131126673,NA,NA
"ETH","gamma",-0.0358164267661056,NA,NA
"ETH","m",0.118518066259165,NA,NA
"ETH","theta",-32.5336950271949,NA,NA
"ETH","w2",13.7514292312732,NA,NA
"BNB","mu",0.00749221968160355,NA,NA
"BNB","alpha",0.0711235345944182,NA,NA
"BNB","beta",0.8901345669011,NA,NA
"BNB","gamma",0.0774832788557918,NA,NA
"BNB","m",0.0284918837840407,NA,NA
"BNB","theta",4.19439988921597,NA,NA
"BNB","w2",1.00782591655263,NA,NA
"BRENT","mu",0.0252995270738709,0.0246403125651483,0.304536552033485
"BRENT","alpha",0.0528047736595025,0.0113400745011266,3.21669285208159e-06
"BRENT","beta",0.902497374921145,0.0129731884916534,0
"BRENT","gamma",0.0594859780525668,0.015102914572951,8.19213853604506e-05
"BRENT","m",1.35831845921463,0.275985430346993,8.5794126469807e-07
"BRENT","theta",0.00297437979101461,0.00133801897331398,0.0262176337658917
"BRENT","w2",1.40817415250278,0.458461812171442,0.00212972631782637
"WTI","mu",0.0249713858179526,0.0269576796119994,0.354280706565662
"WTI","alpha",0.0522949928489339,0.0108550506501778,1.45315340893681e-06
"WTI","beta",0.889729405175234,0.0145320806679783,0
"WTI","gamma",0.0646854767621547,0.0187089801247937,0.000545301154176281
"WTI","m",1.48887502153209,0.209941098373612,1.32316380074826e-12
"WTI","theta",0.00148067718274643,0.000999711089313832,0.138578571771759
"WTI","w2",1.33658475497912,0.445535775434668,0.00270024514186562
